,Unnamed: 0,date,id,nama,umur,id_produk,produk,brand,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,rekomendasi,warna_kulit,tone_kulit
9145,9145,2021-11-25T15:17:35.000Z,985014,Stefanyaliciat,25 - 29,83215,Primer Lipomask,Jacquelle,4.9,(1050),Shopee,Mask Sheet,Mask,Combination,More than 1 year,n,5,Stefanyaliciat recommends this product!,Light,Neutral
9146,9146,2021-11-25T15:17:31.000Z,573628,mthnns,19 - 24,82900,Ultra Light Lip Stain,Luxcrime,5,(20),Shopee,Lip Stain \\u0026 Tint,Lips,Combination,Less than 1 week,y,5,mthnns recommends this product!,Medium Light,Neutral
9147,9147,2021-11-25T15:17:23.000Z,912581,Rr_Asfarina02,19 - 24,53199,Naturals Shower Milk,Palmolive,4.8,(1388),JD.id,Shower Gel \\u0026 Cream,Body Wash,Dry,Less than 1 week,n,5,Rr_Asfarina02 recommends this product!,Medium,Warm
9148,9148,2021-11-25T15:17:18.000Z,319256,innesdeviana,19 - 24,87685,3% Astaxanthin + Chlorelina Serum,Somethinc,5,(22),Shopee,Serum \\u0026 Essence,Treatment,Dry,1 month - 3 months,y,4,innesdeviana doesn't recommend this product! ,Medium Light,Neutral
9149,9149,2021-11-25T15:15:51.000Z,946583,revinadivaa,19 - 24,89000,Powerful Daisy Serum,Kindy Glow,4.9,(2365),tokopedia,Serum \\u0026 Essence,Treatment,Dry,1 week - 1 month,y,5,revinadivaa recommends this product!,Medium,Warm
9150,9150,2021-11-25T15:15:16.000Z,977595,KurniaDliki,45 and Above,88448,Miracles Conditioner,Pantene,5,(17),Gift,Conditioner,Shampoo \\u0026 Conditioner,Combination,Less than 1 week,n,4,KurniaDliki recommends this product!,Medium Light,Neutral
9151,9151,2021-11-25T15:14:34.000Z,236170,lazhimah,19 - 24,87933,Ampoule Mask,Garnier,5,(42),FD Try and Review,Mask Sheet,Mask,18 and Under,Less than 1 week,n,5,lazhimah recommends this product!,,
9152,9152,2021-11-25T15:13:02.000Z,984995,yesicago,18 and Under,86650,Yogurt Sleeping Mask,Jacquelle,5,(19),Brand website,Sleeping Mask,Mask,19 - 24,Less than 1 week,y,5,yesicago recommends this product!,,
9153,9153,2021-11-25T15:12:10.000Z,985003,kusumahadi,19 - 24,86650,Yogurt Sleeping Mask,Jacquelle,5,(21),Brand website,Sleeping Mask,Mask,Combination,6 months - 1 year,y,5,kusumahadi recommends this product!,Medium,Neutral
9154,9154,2021-11-25T15:09:22.000Z,378079,askmimin,19 - 24,87934,Ampoule Mask,Garnier,4.8,(2049),FD Try and Review,Mask Sheet,Mask,Dry,Less than 1 week,y,5,askmimin recommends this product!,Medium,Warm
